laus.code,state.fips,county.fips,county,state.abbr,report.month,preliminary,civilian.labor.force,employed,unemployed,rate.unemployed
CN0100100000000,01,001,Autauga County,AL,2019-02-01,FALSE,26256,25353,903,3.4
CN0100100000000,01,001,Autauga County,AL,2019-03-01,FALSE,26255,25424,831,3.2
CN0100100000000,01,001,Autauga County,AL,2019-04-01,FALSE,26165,25552,613,2.3
CN0100100000000,01,001,Autauga County,AL,2019-05-01,FALSE,26271,25680,591,2.2
CN0100100000000,01,001,Autauga County,AL,2019-06-01,FALSE,26310,25536,774,2.9
CN0100100000000,01,001,Autauga County,AL,2019-07-01,FALSE,26279,25552,727,2.8
CN0100100000000,01,001,Autauga County,AL,2019-08-01,FALSE,26079,25368,711,2.7
CN0100100000000,01,001,Autauga County,AL,2019-09-01,FALSE,26010,25391,619,2.4
CN0100100000000,01,001,Autauga County,AL,2019-10-01,FALSE,26143,25530,613,2.3
CN0100100000000,01,001,Autauga County,AL,2019-11-01,FALSE,26086,25500,586,2.2
CN0100100000000,01,001,Autauga County,AL,2019-12-01,FALSE,26127,25513,614,2.4
CN0100100000000,01,001,Autauga County,AL,2020-01-01,FALSE,25912,25125,787,3
CN0100100000000,01,001,Autauga County,AL,2020-02-01,FALSE,25906,25196,710,2.7
CN0100100000000,01,001,Autauga County,AL,2020-03-01,TRUE,25557,24762,795,3.1
CN0100300000000,01,003,Baldwin County,AL,2019-02-01,FALSE,95901,92454,3447,3.6
CN0100300000000,01,003,Baldwin County,AL,2019-03-01,FALSE,97617,94468,3149,3.2
CN0100300000000,01,003,Baldwin County,AL,2019-04-01,FALSE,97486,95092,2394,2.5
CN0100300000000,01,003,Baldwin County,AL,2019-05-01,FALSE,98311,96129,2182,2.2
CN0100300000000,01,003,Baldwin County,AL,2019-06-01,FALSE,99811,97012,2799,2.8
CN0100300000000,01,003,Baldwin County,AL,2019-07-01,FALSE,99665,97121,2544,2.6
CN0100300000000,01,003,Baldwin County,AL,2019-08-01,FALSE,97939,95367,2572,2.6
CN0100300000000,01,003,Baldwin County,AL,2019-09-01,FALSE,96754,94510,2244,2.3
CN0100300000000,01,003,Baldwin County,AL,2019-10-01,FALSE,97213,94967,2246,2.3
CN0100300000000,01,003,Baldwin County,AL,2019-11-01,FALSE,96603,94405,2198,2.3
CN0100300000000,01,003,Baldwin County,AL,2019-12-01,FALSE,95993,93689,2304,2.4
CN0100300000000,01,003,Baldwin County,AL,2020-01-01,FALSE,95316,92389,2927,3.1
CN0100300000000,01,003,Baldwin County,AL,2020-02-01,FALSE,95924,93418,2506,2.6
CN0100300000000,01,003,Baldwin County,AL,2020-03-01,TRUE,95672,92799,2873,3
CN0100500000000,01,005,Barbour County,AL,2019-02-01,FALSE,8420,8026,394,4.7
