county,date,labor.force,employed,unemployment,unemployment.rate
Alameda County,1990-01-01,676600,650600,26000,3.8
Alpine County,1990-01-01,600,580,20,3.3
Amador County,1990-01-01,11100,10350,760,6.8
Butte County,1990-01-01,76800,69400,7400,9.6
Calaveras County,1990-01-01,12980,11840,1130,8.7
Colusa County,1990-01-01,7090,5550,1540,21.7
Contra Costa County,1990-01-01,434800,418200,16600,3.8
Del Norte County,1990-01-01,9040,7490,1550,17.1
El Dorado County,1990-01-01,62900,59700,3100,4.9
Fresno County,1990-01-01,311000,272100,38900,12.5
Glenn County,1990-01-01,10850,9350,1500,13.8
Humboldt County,1990-01-01,55700,50100,5600,10.1
Imperial County,1990-01-01,48400,37900,10500,21.7
Inyo County,1990-01-01,6820,6340,480,7
Kern County,1990-01-01,246700,219200,27600,11.2
Kings County,1990-01-01,35500,31000,4500,12.7
Lake County,1990-01-01,18890,16860,2030,10.7
Lassen County,1990-01-01,9540,8200,1340,14
Los Angeles County,1990-01-01,4501000,4229700,271400,6
Madera County,1990-01-01,38200,33700,4500,11.8
Marin County,1990-01-01,131900,128700,3200,2.4
Mariposa County,1990-01-01,5850,5310,540,9.2
Mendocino County,1990-01-01,37330,33470,3860,10.3
Merced County,1990-01-01,74100,63700,10400,14
Modoc County,1990-01-01,3700,3250,450,12.2
Mono County,1990-01-01,6730,6540,190,2.8
Monterey County,1990-01-01,166800,143700,23100,13.8
Napa County,1990-01-01,54700,52500,2200,4
Nevada County,1990-01-01,34960,32940,2020,5.8
Orange County,1990-01-01,1350100,1310700,39500,2.9
Placer County,1990-01-01,87900,84000,3900,4.4
Plumas County,1990-01-01,9050,7580,1470,16.2
Riverside County,1990-01-01,521700,493900,27800,5.3
Sacramento County,1990-01-01,512200,488200,24000,4.7
San Benito County,1990-01-01,19400,17000,2500,12.9
San Bernardino County,1990-01-01,623600,594300,29300,4.7
San Diego County,1990-01-01,1201200,1153200,47900,4
San Francisco County,1990-01-01,409600,394500,15100,3.7
San Joaquin County,1990-01-01,216700,193400,23300,10.8
San Luis Obispo County,1990-01-01,96700,92600,4100,4.2
San Mateo County,1990-01-01,370300,361000,9300,2.5
Santa Barbara County,1990-01-01,188900,179700,9200,4.9
Santa Clara County,1990-01-01,847600,817800,29800,3.5
Santa Cruz County,1990-01-01,126800,115300,11500,9.1
Shasta County,1990-01-01,65300,58000,7300,11.2
Sierra County,1990-01-01,1570,1280,290,18.5
Siskiyou County,1990-01-01,19080,15930,3150,16.5
Solano County,1990-01-01,160000,152500,7600,4.8
Sonoma County,1990-01-01,202600,194500,8100,4
