state.fips,county.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
15,009,2019-09-01,86453,2359,2.7,2020-09-01,78541,18547,23.6,20.9
15,007,2019-09-01,36588,999,2.7,2020-09-01,33127,6794,20.5,17.8
36,005,2019-09-01,595001,28521,4.8,2020-09-01,585372,109786,18.8,14
48,103,2019-09-01,1590,65,4.1,2020-09-01,1625,266,16.4,12.3
15,003,2019-09-01,447922,12283,2.7,2020-09-01,414989,56525,13.6,10.9
32,003,2019-09-01,1138060,44606,3.9,2020-09-01,1119011,165647,14.8,10.9
48,377,2019-09-01,3124,209,6.7,2020-09-01,3301,581,17.6,10.9
01,085,2019-09-01,3586,182,5.1,2020-09-01,3797,603,15.9,10.8
01,131,2019-09-01,2726,168,6.2,2020-09-01,3167,539,17,10.8
06,037,2019-09-01,5152447,222671,4.3,2020-09-01,4942404,746087,15.1,10.8
12,086,2019-09-01,1384761,31696,2.3,2020-09-01,1412041,183595,13,10.7
36,081,2019-09-01,1136055,34831,3.1,2020-09-01,1073575,148559,13.8,10.7
36,047,2019-09-01,1193642,43139,3.6,2020-09-01,1125016,158360,14.1,10.5
48,135,2019-09-01,88187,2385,2.7,2020-09-01,87972,11624,13.2,10.5
48,249,2019-09-01,16671,735,4.4,2020-09-01,17628,2597,14.7,10.3
51,730,2019-09-01,13097,671,5.1,2020-09-01,13679,2101,15.4,10.3
12,097,2019-09-01,187142,5861,3.1,2020-09-01,186510,24867,13.3,10.2
48,323,2019-09-01,23399,1482,6.3,2020-09-01,24826,4101,16.5,10.2
15,001,2019-09-01,91579,3200,3.5,2020-09-01,83774,11419,13.6,10.1
48,131,2019-09-01,4919,205,4.2,2020-09-01,5119,733,14.3,10.1
48,501,2019-09-01,3725,112,3,2020-09-01,3929,508,12.9,9.9
02,230,2019-09-01,1004,30,3,2020-09-01,823,105,12.8,9.8
54,059,2019-09-01,6963,428,6.1,2020-09-01,6259,987,15.8,9.7
35,025,2019-09-01,31041,1197,3.9,2020-09-01,33306,4385,13.2,9.3
17,031,2019-09-01,2579265,86101,3.3,2020-09-01,2597326,322390,12.4,9.1
48,495,2019-09-01,4041,119,2.9,2020-09-01,4036,483,12,9.1
25,025,2019-09-01,458696,11685,2.5,2020-09-01,463122,53201,11.5,9
48,343,2019-09-01,4853,246,5.1,2020-09-01,5016,701,14,8.9
48,383,2019-09-01,1915,52,2.7,2020-09-01,1985,231,11.6,8.9
48,505,2019-09-01,4844,232,4.8,2020-09-01,4947,679,13.7,8.9
48,507,2019-09-01,3292,269,8.2,2020-09-01,3309,561,17,8.8
48,427,2019-09-01,24613,2400,9.8,2020-09-01,26120,4836,18.5,8.7
51,595,2019-09-01,2272,102,4.5,2020-09-01,2373,306,12.9,8.4
54,045,2019-09-01,11169,613,5.5,2020-09-01,10026,1394,13.9,8.4
36,085,2019-09-01,221536,7506,3.4,2020-09-01,202976,23449,11.6,8.2
48,247,2019-09-01,1882,81,4.3,2020-09-01,1846,230,12.5,8.2
28,143,2019-09-01,4432,258,5.8,2020-09-01,4779,658,13.8,8
22,019,2019-09-01,105274,4541,4.3,2020-09-01,97210,11860,12.2,7.9
25,009,2019-09-01,427239,11812,2.8,2020-09-01,428545,45662,10.7,7.9
06,051,2019-09-01,8327,279,3.4,2020-09-01,6605,738,11.2,7.8
25,013,2019-09-01,228994,8587,3.7,2020-09-01,224049,25852,11.5,7.8
26,163,2019-09-01,813948,38138,4.7,2020-09-01,793505,98975,12.5,7.8
36,061,2019-09-01,908764,28402,3.1,2020-09-01,830572,90738,10.9,7.8
44,007,2019-09-01,326001,11374,3.5,2020-09-01,332628,37609,11.3,7.8
12,095,2019-09-01,774223,21248,2.7,2020-09-01,749783,77997,10.4,7.7
48,329,2019-09-01,107830,2221,2.1,2020-09-01,102484,9931,9.7,7.6
