state.fips,county.fips,county,state.abbr,report.month.19,civilian.labor.force.19,unemployed.19,rate.unemployed.19,report.month.20,civilian.labor.force.20,unemployed.20,rate.unemployed.20,unemp.rate.diff
48,427,Starr County,TX,2019-03-01,25574,2236,8.7,2020-03-01,26839,4307,16,7.3
21,095,Harlan County,KY,2019-03-01,6864,514,7.5,2020-03-01,6860,995,14.5,7
21,131,Leslie County,KY,2019-03-01,2682,186,6.9,2020-03-01,2786,377,13.5,6.6
21,153,Magoffin County,KY,2019-03-01,3106,361,11.6,2020-03-01,3440,624,18.1,6.5
22,107,Tensas Parish,LA,2019-03-01,1373,86,6.3,2020-03-01,1441,175,12.1,5.8
13,271,Telfair County,GA,2019-03-01,4167,219,5.3,2020-03-01,4183,452,10.8,5.5
21,159,Martin County,KY,2019-03-01,2896,205,7.1,2020-03-01,2849,352,12.4,5.3
54,013,Calhoun County,WV,2019-03-01,2601,382,14.7,2020-03-01,2746,538,19.6,4.9
54,059,Mingo County,WV,2019-03-01,6749,440,6.5,2020-03-01,7341,837,11.4,4.9
21,025,Breathitt County,KY,2019-03-01,3594,279,7.8,2020-03-01,3522,445,12.6,4.8
48,377,Presidio County,TX,2019-03-01,3062,165,5.4,2020-03-01,3207,326,10.2,4.8
21,133,Letcher County,KY,2019-03-01,6297,430,6.8,2020-03-01,6504,739,11.4,4.6
22,035,East Carroll Parish,LA,2019-03-01,1858,181,9.7,2020-03-01,1940,276,14.2,4.5
08,055,Huerfano County,CO,2019-03-01,2477,190,7.7,2020-03-01,2375,287,12.1,4.4
31,171,Thomas County,NE,2019-03-01,420,14,3.3,2020-03-01,460,35,7.6,4.3
49,055,Wayne County,UT,2019-03-01,1349,96,7.1,2020-03-01,1449,164,11.3,4.2
42,047,Elk County,PA,2019-03-01,15656,636,4.1,2020-03-01,15608,1267,8.1,4
06,025,Imperial County,CA,2019-03-01,71080,11769,16.6,2020-03-01,73189,15029,20.5,3.9
21,063,Elliott County,KY,2019-03-01,2010,165,8.2,2020-03-01,2087,252,12.1,3.9
22,067,Morehouse Parish,LA,2019-03-01,10023,730,7.3,2020-03-01,10449,1166,11.2,3.9
22,123,West Carroll Parish,LA,2019-03-01,3649,422,11.6,2020-03-01,3818,589,15.4,3.8
35,029,Luna County,NM,2019-03-01,10172,1662,16.3,2020-03-01,10351,2085,20.1,3.8
42,105,Potter County,PA,2019-03-01,7062,466,6.6,2020-03-01,7278,756,10.4,3.8
47,103,Lincoln County,TN,2019-03-01,17153,543,3.2,2020-03-01,16412,1155,7,3.8
22,115,Vernon Parish,LA,2019-03-01,15526,825,5.3,2020-03-01,16728,1511,9,3.7
48,323,Maverick County,TX,2019-03-01,24190,1947,8,2020-03-01,24721,2891,11.7,3.7
08,105,Rio Grande County,CO,2019-03-01,5064,255,5,2020-03-01,5048,434,8.6,3.6
08,109,Saguache County,CO,2019-03-01,3296,148,4.5,2020-03-01,3335,269,8.1,3.6
22,021,Caldwell Parish,LA,2019-03-01,3773,200,5.3,2020-03-01,3878,345,8.9,3.6
42,023,Cameron County,PA,2019-03-01,2056,127,6.2,2020-03-01,2078,203,9.8,3.6
54,015,Clay County,WV,2019-03-01,3115,288,9.2,2020-03-01,3307,422,12.8,3.6
21,193,Perry County,KY,2019-03-01,8382,508,6.1,2020-03-01,8384,806,9.6,3.5
30,061,Mineral County,MT,2019-03-01,1689,117,6.9,2020-03-01,1792,186,10.4,3.5
13,309,Wheeler County,GA,2019-03-01,1621,90,5.6,2020-03-01,1653,149,9,3.4
39,093,Lorain County,OH,2019-03-01,153536,7084,4.6,2020-03-01,149367,11882,8,3.4
42,083,McKean County,PA,2019-03-01,17168,901,5.2,2020-03-01,17444,1499,8.6,3.4
48,351,Newton County,TX,2019-03-01,5186,298,5.7,2020-03-01,5228,469,9,3.3
