state.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
15,2019-09-01,662542,18841,2.8,2020-09-01,610431,93285,15.3,12.5
32,2019-09-01,1552411,57738,3.7,2020-09-01,1523752,191837,12.6,8.9
06,2019-09-01,19505844,704291,3.6,2020-09-01,18761209,2017210,10.8,7.2
44,2019-09-01,556324,17494,3.1,2020-09-01,561627,56734,10.1,7
25,2019-09-01,3798668,101522,2.7,2020-09-01,3763994,359365,9.5,6.8
17,2019-09-01,6426632,222930,3.5,2020-09-01,6367884,621137,9.8,6.3
36,2019-09-01,9504830,342695,3.6,2020-09-01,9107527,854249,9.4,5.8
48,2019-09-01,14111294,482831,3.4,2020-09-01,14208344,1177589,8.3,4.9
12,2019-09-01,10438894,304237,2.9,2020-09-01,10186220,778173,7.6,4.7
26,2019-09-01,4930758,173033,3.5,2020-09-01,4877814,398787,8.2,4.7
35,2019-09-01,955892,44188,4.6,2020-09-01,950489,88645,9.3,4.7
10,2019-09-01,484355,18909,3.9,2020-09-01,491760,40141,8.2,4.3
41,2019-09-01,2109353,64937,3.1,2020-09-01,2058197,149913,7.3,4.2
39,2019-09-01,5805778,225182,3.9,2020-09-01,5626741,451967,8,4.1
09,2019-09-01,1913107,66564,3.5,2020-09-01,1889428,142269,7.5,4
01,2019-09-01,2237757,57533,2.6,2020-09-01,2248821,142991,6.4,3.8
08,2019-09-01,3178920,75464,2.4,2020-09-01,3161889,195190,6.2,3.8
05,2019-09-01,1364702,45461,3.3,2020-09-01,1336995,93608,7,3.7
53,2019-09-01,3937564,144348,3.7,2020-09-01,3906624,289621,7.4,3.7
24,2019-09-01,3264651,106898,3.3,2020-09-01,3060968,210417,6.9,3.6
37,2019-09-01,5094498,174620,3.4,2020-09-01,4918624,343192,7,3.6
54,2019-09-01,803600,34798,4.3,2020-09-01,775276,61081,7.9,3.6
42,2019-09-01,6506110,271124,4.2,2020-09-01,6355427,489393,7.7,3.5
11,2019-09-01,407988,21886,5.4,2020-09-01,393146,34566,8.8,3.4
51,2019-09-01,4420481,114353,2.6,2020-09-01,4270039,258039,6,3.4
13,2019-09-01,5119873,156104,3,2020-09-01,4937096,309506,6.3,3.3
16,2019-09-01,886205,20686,2.3,2020-09-01,917599,51560,5.6,3.3
33,2019-09-01,772690,17833,2.3,2020-09-01,737017,41314,5.6,3.3
22,2019-09-01,2096723,104339,5,2020-09-01,2091594,171025,8.2,3.2
23,2019-09-01,692603,16025,2.3,2020-09-01,680690,36554,5.4,3.1
34,2019-09-01,4496207,152066,3.4,2020-09-01,4312145,280229,6.5,3.1
18,2019-09-01,3374033,95129,2.8,2020-09-01,3328250,194053,5.8,3
47,2019-09-01,3351337,105790,3.2,2020-09-01,3309300,204646,6.2,3
20,2019-09-01,1484772,40120,2.7,2020-09-01,1470103,81477,5.5,2.8
27,2019-09-01,3110199,80555,2.6,2020-09-01,3050105,163958,5.4,2.8
45,2019-09-01,2366935,47846,2,2020-09-01,2383212,112486,4.7,2.7
49,2019-09-01,1615872,34862,2.2,2020-09-01,1661606,78103,4.7,2.5
04,2019-09-01,3591468,165432,4.6,2020-09-01,3583468,242339,6.8,2.2
56,2019-09-01,293771,9665,3.3,2020-09-01,295441,16324,5.5,2.2
38,2019-09-01,403897,7435,1.8,2020-09-01,396446,15085,3.8,2
40,2019-09-01,1844413,57868,3.1,2020-09-01,1878159,95399,5.1,2
19,2019-09-01,1748279,41463,2.4,2020-09-01,1611522,68885,4.3,1.9
50,2019-09-01,338966,7835,2.3,2020-09-01,319540,13168,4.1,1.8
55,2019-09-01,3096035,88494,2.9,2020-09-01,3125997,147475,4.7,1.8
29,2019-09-01,3083573,82030,2.7,2020-09-01,2999701,127900,4.3,1.6
30,2019-09-01,534593,15873,3,2020-09-01,533616,24667,4.6,1.6
28,2019-09-01,1276038,68196,5.3,2020-09-01,1292855,87566,6.8,1.5
21,2019-09-01,2073195,79650,3.8,2020-09-01,1922689,100934,5.2,1.4
72,2019-09-01,1066862,87622,8.2,2020-09-01,1048266,97909,9.3,1.1
02,2019-09-01,348824,19306,5.5,2020-09-01,334042,21680,6.5,1
46,2019-09-01,463199,14012,3,2020-09-01,461230,17457,3.8,0.8
31,2019-09-01,1029471,28496,2.8,2020-09-01,1025878,33495,3.3,0.5
