state.fips,state.abbr,report.month.19,civilian.labor.force.19,unemployed.19,rate.unemployed.19,report.month.20,civilian.labor.force.20,unemployed.20,rate.unemployed.20,unemp.rate.diff
32,NV,2019-03-01,1530662,62205,4.1,2020-03-01,1567367,100847,6.4,2.3
22,LA,2019-03-01,2082794,85627,4.1,2020-03-01,2138116,129665,6.1,2
08,CO,2019-03-01,3114109,97014,3.1,2020-03-01,3129298,150101,4.8,1.7
42,PA,2019-03-01,6431250,275014,4.3,2020-03-01,6503961,391377,6,1.7
39,OH,2019-03-01,5774817,244789,4.2,2020-03-01,5736297,323196,5.6,1.4
10,DE,2019-03-01,486109,17869,3.7,2020-03-01,478703,23971,5,1.3
05,AR,2019-03-01,1358425,47231,3.5,2020-03-01,1381125,65023,4.7,1.2
44,RI,2019-03-01,549665,21491,3.9,2020-03-01,562326,28452,5.1,1.2
48,TX,2019-03-01,13976212,489891,3.5,2020-03-01,14075590,666308,4.7,1.2
06,CA,2019-03-01,19393147,864142,4.5,2020-03-01,19217891,1084651,5.6,1.1
12,FL,2019-03-01,10264831,330230,3.2,2020-03-01,10328420,442447,4.3,1.1
35,NM,2019-03-01,945165,45162,4.8,2020-03-01,966487,56777,5.9,1.1
21,KY,2019-03-01,2072303,97348,4.7,2020-03-01,2050025,117436,5.7,1
31,NE,2019-03-01,1029236,34776,3.4,2020-03-01,1057180,45606,4.3,0.9
54,WV,2019-03-01,784132,41123,5.2,2020-03-01,811728,49603,6.1,0.9
29,MO,2019-03-01,3068111,112907,3.7,2020-03-01,3102426,139488,4.5,0.8
49,UT,2019-03-01,1590434,48291,3,2020-03-01,1624766,62037,3.8,0.8
13,GA,2019-03-01,5102934,182865,3.6,2020-03-01,5160135,223653,4.3,0.7
50,VT,2019-03-01,343680,9209,2.7,2020-03-01,339759,11640,3.4,0.7
04,AZ,2019-03-01,3521017,165883,4.7,2020-03-01,3597810,192350,5.3,0.6
19,IA,2019-03-01,1723635,55437,3.2,2020-03-01,1709394,65720,3.8,0.6
53,WA,2019-03-01,3889347,187241,4.8,2020-03-01,3896440,205176,5.3,0.5
56,WY,2019-03-01,289804,11211,3.9,2020-03-01,294152,12544,4.3,0.4
11,DC,2019-03-01,409447,22965,5.6,2020-03-01,421784,24786,5.9,0.3
51,VA,2019-03-01,4392682,131359,3,2020-03-01,4440738,146410,3.3,0.3
34,NJ,2019-03-01,4450187,164676,3.7,2020-03-01,4574015,176302,3.9,0.2
36,NY,2019-03-01,9529117,400565,4.2,2020-03-01,9437903,417791,4.4,0.2
37,NC,2019-03-01,5072312,203526,4,2020-03-01,4982206,210267,4.2,0.2
47,TN,2019-03-01,3330428,116181,3.5,2020-03-01,3356649,124665,3.7,0.2
25,MA,2019-03-01,3801227,124637,3.3,2020-03-01,3735522,126082,3.4,0.1
17,IL,2019-03-01,6458725,286273,4.4,2020-03-01,6279900,278468,4.4,0
27,MN,2019-03-01,3090444,121302,3.9,2020-03-01,3065292,118545,3.9,0
01,AL,2019-03-01,2246183,77317,3.4,2020-03-01,2205478,73858,3.3,-0.1
09,CT,2019-03-01,1896126,75986,4,2020-03-01,1912045,74996,3.9,-0.1
23,ME,2019-03-01,685250,26485,3.9,2020-03-01,686898,25817,3.8,-0.1
28,MS,2019-03-01,1269580,64739,5.1,2020-03-01,1260765,63559,5,-0.1
30,MT,2019-03-01,527702,22164,4.2,2020-03-01,535922,22011,4.1,-0.1
33,NH,2019-03-01,770491,22712,2.9,2020-03-01,764867,21578,2.8,-0.1
24,MD,2019-03-01,3239713,121416,3.7,2020-03-01,3276710,113158,3.5,-0.2
46,SD,2019-03-01,459827,16568,3.6,2020-03-01,465937,16042,3.4,-0.2
18,IN,2019-03-01,3391159,126896,3.7,2020-03-01,3280032,111099,3.4,-0.3
20,KS,2019-03-01,1476087,49849,3.4,2020-03-01,1495916,46943,3.1,-0.3
38,ND,2019-03-01,399924,12135,3,2020-03-01,401670,10917,2.7,-0.3
55,WI,2019-03-01,3096679,117577,3.8,2020-03-01,3078262,106694,3.5,-0.3
26,MI,2019-03-01,4937475,228960,4.6,2020-03-01,4904439,207896,4.2,-0.4
40,OK,2019-03-01,1837119,59375,3.2,2020-03-01,1835176,50769,2.8,-0.4
45,SC,2019-03-01,2370344,79729,3.4,2020-03-01,2402983,71529,3,-0.4
15,HI,2019-03-01,665481,17941,2.7,2020-03-01,667637,14831,2.2,-0.5
16,ID,2019-03-01,870363,30709,3.5,2020-03-01,892314,25816,2.9,-0.6
41,OR,2019-03-01,2096771,94454,4.5,2020-03-01,2105534,81056,3.8,-0.7
02,AK,2019-03-01,345063,23457,6.8,2020-03-01,341077,19929,5.8,-1
72,PR,2019-03-01,1073345,99259,9.2,2020-03-01,,,,
